,Datetime,MW,Utility,Year,Month,Day,Day_of_Week,Weekend,Temp(f)
20146,2015-12-31 02:00:00,1652.0,DAYTON,2015,12,31,3,0,39.2
20147,2015-12-31 03:00:00,1631.0,DAYTON,2015,12,31,3,0,37.4
20148,2015-12-31 05:00:00,1641.0,DAYTON,2015,12,31,3,0,36.0
20149,2015-12-31 06:00:00,1707.0,DAYTON,2015,12,31,3,0,35.6
20150,2015-12-31 07:00:00,1821.0,DAYTON,2015,12,31,3,0,35.6
20151,2015-12-31 08:00:00,1920.0,DAYTON,2015,12,31,3,0,35.6
20152,2015-12-31 09:00:00,1970.0,DAYTON,2015,12,31,3,0,35.6
20153,2015-12-31 10:00:00,2016.0,DAYTON,2015,12,31,3,0,35.6
20154,2015-12-31 12:00:00,2072.0,DAYTON,2015,12,31,3,0,33.8
20155,2015-12-31 13:00:00,2070.0,DAYTON,2015,12,31,3,0,33.8
20156,2015-12-31 14:00:00,2072.0,DAYTON,2015,12,31,3,0,33.8
20157,2015-12-31 15:00:00,2058.0,DAYTON,2015,12,31,3,0,33.8
20158,2015-12-31 16:00:00,2048.0,DAYTON,2015,12,31,3,0,33.8
20159,2015-12-31 18:00:00,2157.0,DAYTON,2015,12,31,3,0,33.8
20160,2015-12-31 19:00:00,2137.0,DAYTON,2015,12,31,3,0,32.0
20161,2015-12-31 21:00:00,1982.0,DAYTON,2015,12,31,3,0,30.99
20162,2015-12-31 22:00:00,1925.0,DAYTON,2015,12,31,3,0,32.0
20164,2015-12-30 02:00:00,1632.0,DAYTON,2015,12,30,2,0,41.0
20165,2015-12-30 04:00:00,1599.0,DAYTON,2015,12,30,2,0,41.0
20166,2015-12-30 05:00:00,1621.0,DAYTON,2015,12,30,2,0,39.2
20167,2015-12-30 07:00:00,1837.0,DAYTON,2015,12,30,2,0,39.2
20168,2015-12-30 08:00:00,1951.0,DAYTON,2015,12,30,2,0,39.2
20169,2015-12-30 09:00:00,1985.0,DAYTON,2015,12,30,2,0,39.2
20170,2015-12-30 11:00:00,2041.0,DAYTON,2015,12,30,2,0,39.2
20171,2015-12-30 12:00:00,2046.0,DAYTON,2015,12,30,2,0,39.2
20172,2015-12-30 13:00:00,2039.0,DAYTON,2015,12,30,2,0,39.2
20173,2015-12-30 15:00:00,2016.0,DAYTON,2015,12,30,2,0,39.2
20174,2015-12-30 16:00:00,2001.0,DAYTON,2015,12,30,2,0,41.0
20175,2015-12-30 18:00:00,2123.0,DAYTON,2015,12,30,2,0,41.0
20176,2015-12-30 19:00:00,2140.0,DAYTON,2015,12,30,2,0,42.8
20177,2015-12-30 20:00:00,2106.0,DAYTON,2015,12,30,2,0,42.8
20178,2015-12-30 22:00:00,1997.0,DAYTON,2015,12,30,2,0,41.0
20179,2015-12-30 23:00:00,1890.0,DAYTON,2015,12,30,2,0,39.2
20180,2015-12-29 02:00:00,1526.0,DAYTON,2015,12,29,1,0,57.2
20181,2015-12-29 04:00:00,1496.0,DAYTON,2015,12,29,1,0,55.4
20182,2015-12-29 05:00:00,1527.0,DAYTON,2015,12,29,1,0,55.4
20183,2015-12-29 06:00:00,1609.0,DAYTON,2015,12,29,1,0,55.4
20184,2015-12-29 07:00:00,1745.0,DAYTON,2015,12,29,1,0,53.6
20185,2015-12-29 08:00:00,1868.0,DAYTON,2015,12,29,1,0,51.8
20186,2015-12-29 10:00:00,1939.0,DAYTON,2015,12,29,1,0,48.2
20187,2015-12-29 11:00:00,1983.0,DAYTON,2015,12,29,1,0,48.2
20188,2015-12-29 12:00:00,2005.0,DAYTON,2015,12,29,1,0,46.99
20189,2015-12-29 13:00:00,2010.0,DAYTON,2015,12,29,1,0,46.99
20190,2015-12-29 14:00:00,2011.0,DAYTON,2015,12,29,1,0,48.2
20191,2015-12-29 15:00:00,2004.0,DAYTON,2015,12,29,1,0,46.0
20192,2015-12-29 16:00:00,2004.0,DAYTON,2015,12,29,1,0,44.6
20193,2015-12-29 18:00:00,2105.0,DAYTON,2015,12,29,1,0,42.8
20194,2015-12-29 20:00:00,2095.0,DAYTON,2015,12,29,1,0,42.8
20195,2015-12-29 21:00:00,2086.0,DAYTON,2015,12,29,1,0,42.8
20196,2015-12-30 00:00:00,1765.0,DAYTON,2015,12,30,2,0,41.0
20197,2015-12-28 01:00:00,1618.0,DAYTON,2015,12,28,0,0,39.2
20198,2015-12-28 03:00:00,1557.0,DAYTON,2015,12,28,0,0,39.0
20199,2015-12-28 05:00:00,1591.0,DAYTON,2015,12,28,0,0,39.2
20200,2015-12-28 07:00:00,1842.0,DAYTON,2015,12,28,0,0,39.2
20201,2015-12-28 08:00:00,1990.0,DAYTON,2015,12,28,0,0,39.2
20202,2015-12-28 09:00:00,2074.0,DAYTON,2015,12,28,0,0,41.0
20203,2015-12-28 10:00:00,2121.0,DAYTON,2015,12,28,0,0,39.2
20204,2015-12-28 11:00:00,2147.0,DAYTON,2015,12,28,0,0,39.2
20205,2015-12-28 12:00:00,2184.0,DAYTON,2015,12,28,0,0,37.4
20206,2015-12-28 13:00:00,2191.0,DAYTON,2015,12,28,0,0,37.4
20207,2015-12-28 15:00:00,2196.0,DAYTON,2015,12,28,0,0,37.4
20208,2015-12-28 16:00:00,2153.0,DAYTON,2015,12,28,0,0,37.4
20209,2015-12-28 18:00:00,2250.0,DAYTON,2015,12,28,0,0,37.99
20210,2015-12-28 19:00:00,2231.0,DAYTON,2015,12,28,0,0,39.2
20211,2015-12-28 21:00:00,2081.0,DAYTON,2015,12,28,0,0,39.99
20212,2015-12-28 22:00:00,1966.0,DAYTON,2015,12,28,0,0,43.0
20213,2015-12-29 00:00:00,1693.0,DAYTON,2015,12,29,1,0,50.0
20214,2015-12-27 03:00:00,1284.0,DAYTON,2015,12,27,6,1,61.0
20215,2015-12-27 04:00:00,1273.0,DAYTON,2015,12,27,6,1,60.8
20216,2015-12-27 05:00:00,1261.0,DAYTON,2015,12,27,6,1,63.0
20217,2015-12-27 06:00:00,1280.0,DAYTON,2015,12,27,6,1,64.0
