,Datetime,MW,Utility,Year,Month,Day,Day_of_Week,Weekend,Temp(f)
3593,2016-12-31 01:00:00,10419.0,COMED,2016,12,31,5,1,32.0
3594,2016-12-31 02:00:00,9940.0,COMED,2016,12,31,5,1,32.0
3595,2016-12-31 03:00:00,9604.0,COMED,2016,12,31,5,1,35.6
3596,2016-12-31 04:00:00,9318.0,COMED,2016,12,31,5,1,37.4
3597,2016-12-31 05:00:00,9224.0,COMED,2016,12,31,5,1,37.4
3598,2016-12-31 06:00:00,9209.0,COMED,2016,12,31,5,1,37.4
3599,2016-12-31 07:00:00,9343.0,COMED,2016,12,31,5,1,37.4
3600,2016-12-31 08:00:00,9715.0,COMED,2016,12,31,5,1,39.2
3601,2016-12-31 09:00:00,9809.0,COMED,2016,12,31,5,1,41.0
3602,2016-12-31 10:00:00,9974.0,COMED,2016,12,31,5,1,41.0
3603,2016-12-31 11:00:00,10087.0,COMED,2016,12,31,5,1,39.2
3604,2016-12-31 12:00:00,10187.0,COMED,2016,12,31,5,1,39.2
3605,2016-12-31 13:00:00,10299.0,COMED,2016,12,31,5,1,39.2
3606,2016-12-31 14:00:00,10385.0,COMED,2016,12,31,5,1,39.2
3607,2016-12-31 15:00:00,10261.0,COMED,2016,12,31,5,1,41.0
3608,2016-12-31 16:00:00,10313.0,COMED,2016,12,31,5,1,41.0
3609,2016-12-31 17:00:00,10416.0,COMED,2016,12,31,5,1,42.8
3610,2016-12-31 18:00:00,11037.0,COMED,2016,12,31,5,1,44.6
3611,2016-12-31 19:00:00,11587.0,COMED,2016,12,31,5,1,42.8
3612,2016-12-31 20:00:00,11549.0,COMED,2016,12,31,5,1,42.8
3613,2016-12-31 21:00:00,11273.0,COMED,2016,12,31,5,1,39.2
3614,2016-12-31 22:00:00,11085.0,COMED,2016,12,31,5,1,37.4
3615,2016-12-31 23:00:00,10801.0,COMED,2016,12,31,5,1,37.4
3617,2016-12-30 01:00:00,10596.0,COMED,2016,12,30,4,0,35.6
3618,2016-12-30 02:00:00,10137.0,COMED,2016,12,30,4,0,35.6
3619,2016-12-30 03:00:00,9838.0,COMED,2016,12,30,4,0,33.8
3620,2016-12-30 04:00:00,9715.0,COMED,2016,12,30,4,0,33.8
3621,2016-12-30 05:00:00,9657.0,COMED,2016,12,30,4,0,33.8
3622,2016-12-30 06:00:00,9885.0,COMED,2016,12,30,4,0,33.8
3623,2016-12-30 07:00:00,10392.0,COMED,2016,12,30,4,0,33.8
3624,2016-12-30 08:00:00,11013.0,COMED,2016,12,30,4,0,32.0
3625,2016-12-30 09:00:00,11286.0,COMED,2016,12,30,4,0,32.0
3626,2016-12-30 10:00:00,11457.0,COMED,2016,12,30,4,0,32.0
3627,2016-12-30 11:00:00,11507.0,COMED,2016,12,30,4,0,30.2
3628,2016-12-30 12:00:00,11576.0,COMED,2016,12,30,4,0,28.4
3629,2016-12-30 13:00:00,11506.0,COMED,2016,12,30,4,0,26.6
3630,2016-12-30 14:00:00,11367.0,COMED,2016,12,30,4,0,26.6
3631,2016-12-30 15:00:00,11331.0,COMED,2016,12,30,4,0,26.6
3632,2016-12-30 16:00:00,11369.0,COMED,2016,12,30,4,0,28.4
3633,2016-12-30 17:00:00,11363.0,COMED,2016,12,30,4,0,30.2
3634,2016-12-30 18:00:00,11930.0,COMED,2016,12,30,4,0,32.0
3635,2016-12-30 19:00:00,12533.0,COMED,2016,12,30,4,0,32.0
